Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity,Sale_Price,Payment_Method,Salesperson
S00198,CU0280,C0094,2025-04-28,2,19752.94,Cash,Charles Crosby
S00199,CU0384,C0120,2024-12-25,2,80958.35,Credit,Stephanie Rice
S00200,CU0178,C0302,2023-11-21,3,82337.36,Credit,Daniel Murray
S00201,CU1253,C0287,2023-10-20,1,68800.08,Cash,Janet Hanson
S00202,CU0096,C0373,2025-01-21,1,72922.77,Installment,Angela Davis
S00203,CU0550,C0266,2023-10-06,2,51538.87,Cash,Michael Anderson
S00204,CU1956,C0096,2025-10-19,2,75439.98,Installment,Jeremiah Benson
S00205,CU0850,C0266,2025-05-28,2,84565.97,Cash,Jeffrey Gonzalez
S00206,CU0074,C0232,2025-01-26,1,95299.84,Credit,Mr. Bryan Johnson
S00207,CU0421,C0222,2024-07-28,2,59323.17,Cash,Jason Harris
S00208,CU0295,C0128,2023-09-07,1,47048.64,Installment,Joshua Garrett
S00209,CU0824,C0185,2023-06-03,2,96745.51,Credit,Daniel Cooper
S00210,CU1261,C0310,2024-12-14,2,34673.55,Installment,Kyle Howard Jr.
S00211,CU0597,C0070,2025-05-26,1,45107.04,Installment,James Johnson
S00212,CU0254,C0168,2024-10-04,1,98773.54,Installment,Julie Jordan
S00213,CU1962,C0096,2025-06-28,2,96113.9,Credit,Laura Gibson
S00214,CU1822,C0265,2024-04-03,1,82672.91,Cash,Matthew Schneider
S00215,CU0012,C0123,2023-06-06,3,61216.54,Credit,Candace Howard
S00216,CU1506,C0366,2023-07-20,1,67455.13,Credit,Kenneth Rodriguez
S00217,CU0468,C0196,2024-07-27,2,76736.91,Installment,David Meadows
S00218,CU0065,C0120,2023-08-29,2,58952.42,Credit,Michael Bowers
S00219,CU1309,C0298,2023-07-09,3,41715.72,Credit,Kyle King
S00220,CU1850,C0032,2023-10-14,1,52197.55,Installment,Garrett Hoover
S00221,CU0520,C0304,2023-03-06,3,32533.88,Credit,Mr. Alan Edwards
S00222,CU1161,C0465,2025-04-16,1,50934.85,Cash,Kim Wilson
S00223,CU0793,C0492,2025-10-27,1,43195.38,Cash,Brittany Mcclain
S00224,CU0561,C0028,2024-07-05,2,85560.86,Credit,Tracy Lambert
S00225,CU1416,C0434,2024-11-01,3,65857.4,Installment,Ashley Dixon
S00226,CU1924,C0414,2023-10-15,3,90355.04,Installment,Wesley Sanders
S00227,CU1691,C0190,2023-06-24,2,57195.07,Cash,Craig Holland
S00228,CU1585,C0168,2025-06-06,1,29997.34,Cash,Andrea White
S00229,CU1309,C0234,2024-01-25,2,56022.25,Credit,Michael Mitchell
S00230,CU0547,C0321,2024-04-03,1,58160.3,Installment,Richard Walker
S00231,CU0718,C0052,2025-03-17,1,88853.04,Cash,Chloe Lopez
S00232,CU0197,C0182,2023-10-17,2,61924.58,Installment,Christine Mccarthy
S00233,CU0673,C0410,2024-10-31,2,35484.62,Installment,Rhonda Baker
S00234,CU0644,C0486,2024-03-11,2,46903.3,Installment,Andrew Frost
S00235,CU0522,C0280,2025-04-05,2,74243.25,Cash,Thomas Carey
S00236,CU1467,C0140,2022-12-26,1,92986.69,Cash,Rebecca Smith
S00237,CU1782,C0137,2025-07-22,3,27852.02,Installment,Andrew Medina
S00238,CU1117,C0227,2025-04-15,1,45545.77,Cash,Susan Harrell
S00239,CU0579,C0427,2024-03-18,3,81422.92,Installment,Jessica Evans
S00240,CU1261,C0077,2025-05-26,1,59198.38,Installment,Patricia Maxwell
S00241,CU0256,C0034,2024-07-09,2,41986.41,Credit,Eric Roach
S00242,CU1745,C0333,2024-10-28,2,56630.84,Installment,Christine Foley
S00243,CU0251,C0111,2024-11-27,3,89055.91,Installment,James Hernandez
S00244,CU1930,C0430,2022-11-02,2,32520.19,Credit,Nicole Bishop
S00245,CU0758,C0053,2023-11-07,1,30471.18,Cash,Scott Moreno
S00246,CU0681,C0083,2025-07-29,3,26373.31,Cash,Claire Wilson
S00247,CU1423,C0462,2025-08-02,3,81289.83,Cash,Joshua Bell
S00248,CU0943,C0077,2025-01-20,2,90198.45,Cash,Jason Johnston
S00249,CU1098,C0149,2024-11-30,1,54758.04,Installment,Cody Williams
S00250,CU1441,C0243,2024-02-03,1,88266.67,Installment,Gina Deleon
S00251,CU1924,C0218,2022-11-21,3,38229.28,Installment,Mark Martinez
S00252,CU0508,C0257,2024-07-23,2,57450.74,Installment,Andrew Taylor
S00253,CU1206,C0409,2023-02-09,3,75301.85,Installment,Cindy Reynolds
S00254,CU0387,C0401,2025-01-10,2,60180.83,Cash,Paul Waters
S00255,CU0183,C0020,2025-08-24,3,58810.51,Installment,Taylor Holt
S00256,CU0740,C0334,2025-06-28,3,88588.75,Installment,James Clark
S00257,CU1935,C0305,2025-02-24,2,18220.0,Credit,Jessica Martinez
S00258,CU0588,C0185,2025-01-24,2,34751.06,Installment,Mr. John Zhang Jr.
S00259,CU0576,C0102,2025-09-21,1,33152.87,Installment,Rhonda Martinez
S00260,CU1278,C0180,2023-06-01,1,78164.7,Credit,Trevor Garcia
S00261,CU1040,C0240,2024-08-08,2,87438.14,Credit,Roy Williams
S00262,CU0076,C0047,2024-03-01,2,71217.44,Cash,Andres Valencia
S00263,CU0157,C0212,2022-12-05,3,17840.29,Cash,Bryan Robinson
S00264,CU1405,C0165,2023-06-14,3,64231.16,Installment,Sue Maldonado
S00265,CU0766,C0186,2025-08-15,2,95446.95,Credit,Nicole Bernard
S00266,CU1571,C0248,2023-09-09,2,79945.06,Credit,Jessica Watson
S00267,CU1327,C0350,2025-06-03,3,51517.51,Installment,Dr. Nicholas Berry Jr.
S00268,CU0614,C0121,2024-06-11,1,25275.75,Cash,Lauren Phillips
S00269,CU1642,C0142,2025-05-09,2,59562.07,Cash,Kelly Harrison
S00270,CU0831,C0463,2023-08-12,2,68405.18,Installment,Patricia Briggs
S00271,CU0389,C0090,2023-10-31,2,42933.27,Cash,Ricardo Salazar
S00272,CU0040,C0305,2023-04-05,2,84360.74,Installment,Maurice Armstrong
S00273,CU1635,C0178,2025-07-10,1,40520.18,Cash,Kari Anderson
S00274,CU1030,C0336,2024-02-29,2,36321.48,Installment,James Tate
S00275,CU0229,C0427,2022-11-28,3,66971.12,Installment,Katelyn Williams DVM
S00276,CU0608,C0229,2025-07-31,1,93859.73,Installment,Andrew Osborne
S00277,CU1215,C0479,2024-09-14,1,88240.04,Credit,Tammy Hawkins
S00278,CU1524,C0148,2024-07-07,1,54231.84,Credit,Karen Riley
S00279,CU1860,C0162,2024-06-27,3,93810.02,Cash,Tony Munoz
S00280,CU1732,C0100,2024-07-07,1,64055.54,Cash,Nicholas Turner
S00281,CU1332,C0426,2025-09-17,1,19317.55,Credit,Natalie Reyes
S00282,CU1131,C0495,2022-11-17,2,74297.86,Credit,Jordan Bell
S00283,CU0756,C0036,2024-05-19,3,51591.25,Cash,Alexander Hill
S00284,CU1159,C0172,2024-05-06,3,96799.09,Installment,Brandon Gonzalez
S00285,CU1982,C0438,2024-05-01,3,65231.77,Installment,April Sandoval
S00286,CU0821,C0258,2024-05-31,1,28922.51,Credit,Victoria Martinez
S00287,CU0255,C0029,2022-12-09,1,29936.54,Credit,Linda Lawrence
S00288,CU0392,C0028,2023-08-12,2,82636.03,Installment,Kelly Howard
S00289,CU1605,C0464,2025-09-05,2,52410.82,Cash,Vickie Hernandez
S00290,CU1844,C0483,2024-07-29,3,73229.75,Installment,Danny Romero
S00291,CU1550,C0096,2023-07-04,1,79063.62,Installment,Connie Ashley
S00292,CU0704,C0238,2022-11-23,2,61030.41,Installment,Gina Montgomery
S00293,CU0404,C0240,2025-07-25,3,60845.2,Cash,Jerry Duncan
S00294,CU1939,C0359,2024-01-29,1,76585.17,Cash,Brad Thomas
S00295,CU1959,C0460,2023-08-06,1,47242.6,Installment,Lori Brown
S00296,CU0522,C0450,2024-07-12,2,98645.62,Installment,Autumn Howe
S00297,CU1114,C0318,2024-06-02,1,46838.49,Credit,Renee Henry
S00298,CU1943,C0467,2023-08-01,2,96709.56,Credit,Kathy Phillips
S00299,CU1786,C0141,2024-03-28,3,54757.4,Installment,Melissa Leach
S00300,CU0061,C0241,2022-11-30,2,55055.77,Credit,Robert Schwartz
S00301,CU0856,C0441,2024-09-22,1,48809.45,Credit,Tyler Terry
S00302,CU0867,C0263,2024-04-30,3,60478.12,Installment,Stephanie Roberts
S00303,CU1297,C0457,2025-06-27,1,53917.85,Installment,Karen Mason
S00304,CU0558,C0119,2024-03-24,2,89526.47,Installment,Charles Davis
S00305,CU0743,C0463,2023-08-07,3,45527.03,Installment,Steven Evans
S00306,CU0073,C0102,2024-05-12,1,27192.3,Cash,Jane Hawkins MD
S00307,CU1493,C0088,2025-03-24,2,62432.4,Cash,Jonathan Smith
S00308,CU1948,C0312,2024-06-02,2,33980.78,Installment,Mark Rivera
S00309,CU0425,C0327,2023-12-11,2,85217.41,Credit,Miss Mary Hester
S00310,CU1982,C0214,2024-02-27,2,96149.87,Cash,Amy Weaver
S00311,CU1850,C0340,2023-01-24,2,68065.5,Installment,Michael Lee
S00312,CU0421,C0267,2025-01-03,3,56330.62,Installment,Sheila Savage
S00313,CU0398,C0167,2023-11-27,1,90209.85,Cash,Peter Fisher
S00314,CU0718,C0104,2024-06-30,3,61700.69,Credit,Denise Palmer
S00315,CU0248,C0489,2023-12-05,3,92271.15,Credit,William Spencer
S00316,CU0808,C0021,2022-11-07,2,61022.43,Credit,Katherine Larsen
S00317,CU0372,C0397,2024-10-03,3,60359.81,Credit,Marissa Arnold
S00318,CU0569,C0204,2025-05-05,2,81313.51,Credit,Susan Barnes
S00319,CU1304,C0266,2024-02-11,1,31499.37,Installment,Eric Glenn
S00320,CU0794,C0187,2025-05-22,3,60066.53,Installment,Stephen Nichols
S00321,CU1551,C0208,2024-07-07,3,39026.47,Cash,Thomas Cole
S00322,CU0484,C0024,2025-03-02,1,61353.72,Installment,Kimberly Lopez
S00323,CU1504,C0089,2024-06-07,2,30109.1,Credit,Trevor Barron
S00324,CU0137,C0399,2024-04-06,3,53256.41,Cash,Heather George
S00325,CU1518,C0462,2025-06-04,3,19838.23,Installment,Sarah Hall MD
S00326,CU0355,C0451,2023-10-11,3,63464.14,Cash,Kaitlyn Jones
S00327,CU1340,C0034,2025-01-17,3,20894.42,Credit,Douglas Thompson
S00328,CU1622,C0287,2023-04-10,3,85645.95,Installment,John Pearson
S00329,CU0788,C0348,2023-10-17,3,57022.37,Credit,Allison Lewis
S00330,CU0613,C0500,2023-08-08,3,49556.24,Cash,Bruce Bradley
S00331,CU1110,C0354,2024-06-05,3,80089.55,Cash,Mark Cox
S00332,CU0766,C0448,2023-10-31,2,28883.76,Cash,Anthony Lee
S00333,CU1794,C0126,2024-11-13,3,61019.97,Cash,Carl Williams
S00334,CU1558,C0150,2023-12-24,3,77590.44,Installment,Meghan Waller
S00335,CU1860,C0194,2024-03-06,2,88734.49,Credit,Melissa Myers
S00336,CU1853,C0121,2025-06-02,2,68297.05,Credit,Ann Montgomery
S00337,CU0848,C0215,2024-10-27,3,25016.82,Installment,Caitlin Bautista
S00338,CU0532,C0476,2024-11-10,3,29542.83,Cash,Sue Werner
S00339,CU1957,C0289,2024-11-24,3,28462.52,Installment,Eric Kim
S00340,CU1241,C0491,2023-03-08,3,44434.79,Credit,Danielle Spears
S00341,CU0372,C0028,2025-05-14,2,70734.77,Installment,Keith Davidson
S00342,CU1150,C0146,2022-11-14,2,77578.54,Cash,Christopher Ellis
S00343,CU0829,C0240,2024-09-24,3,95436.49,Cash,Mark Patrick
S00344,CU1578,C0087,2025-05-31,2,81091.96,Credit,Gary Green
S00345,CU0363,C0217,2022-12-18,2,50696.8,Installment,Julian Jackson
S00346,CU0481,C0483,2024-04-08,1,17311.42,Credit,Joseph Morales
S00347,CU0517,C0288,2022-12-24,1,65601.62,Installment,Lisa Rangel
S00348,CU0904,C0476,2025-03-21,3,33197.16,Credit,Mary Elliott
S00349,CU0027,C0136,2025-03-28,2,61335.1,Installment,Heather Woods
S00350,CU1127,C0280,2024-02-22,2,42245.43,Credit,Mary Finley
S00351,CU0023,C0186,2024-09-01,3,39936.37,Credit,Emma Fuentes
S00352,CU1021,C0129,2025-05-04,1,47076.17,Installment,Michael Norman
